year,prop1_black_cast,prop1_black_composers,prop1_black_creators,prop1_black_directors,prop1_black_executive_producers,prop1_black_presenters,prop1_black_producers,prop1_female_cast,prop1_female_composers,prop1_female_creators,prop1_female_directors,prop1_female_executive_producers,prop1_female_presenters,prop1_female_producers,prop_black_cast,prop_black_composers,prop_black_creators,prop_black_directors,prop_black_executive_producers,prop_black_presenters,prop_black_producers,prop_female_cast,prop_female_composers,prop_female_creators,prop_female_directors,prop_female_executive_producers,prop_female_presenters,prop_female_producers
1970-1971,0.0594059405941,0.0,0.00403225806452,0.0729927007299,0.0114285714286,0.0602409638554,0.0,0.459214501511,0.0551181102362,0.192307692308,0.212765957447,0.224770642202,0.244897959184,0.251282051282,0.0122950819672,0.0,0.00826446280992,0.016393442623,0.00719424460432,0.0405405405405,0.0,0.354508196721,0.0108695652174,0.0909090909091,0.0409836065574,0.172661870504,0.175675675676,0.0774193548387
1971-1972,0.0232558139535,0.0,0.00884955752212,0.0625,0.0197368421053,0.0704225352113,0.0,0.450171821306,0.0560747663551,0.177966101695,0.240875912409,0.227027027027,0.253012048193,0.226519337017,0.00485436893204,0.0,0.00877192982456,0.03125,0.00757575757576,0.0422535211268,0.0,0.364077669903,0.0309278350515,0.0701754385965,0.0625,0.19696969697,0.183098591549,0.062015503876
1972-1973,0.0496453900709,0.0,0.0188679245283,0.037037037037,0.00729927007299,0.0581395348837,0.0,0.466666666667,0.120481927711,0.152777777778,0.254237288136,0.196428571429,0.237623762376,0.267441860465,0.0139275766017,0.0,0.0103092783505,0.00970873786408,0.00746268656716,0.0337078651685,0.0,0.364902506964,0.0449438202247,0.0618556701031,0.0679611650485,0.179104477612,0.179775280899,0.102040816327
1973-1974,0.0740740740741,0.0,0.0235849056604,0.0451127819549,0.0129032258065,0.0526315789474,0.0,0.424390243902,0.10989010989,0.165137614679,0.223776223776,0.197916666667,0.211009174312,0.306532663317,0.0197183098592,0.0,0.0188679245283,0.0291262135922,0.0140845070423,0.037037037037,0.0,0.338028169014,0.0449438202247,0.0754716981132,0.0485436893204,0.176056338028,0.172839506173,0.106666666667
1974-1975,0.135135135135,0.0,0.0165289256198,0.0223463687151,0.00444444444444,0.0480769230769,0.0,0.424812030075,0.0578512396694,0.144,0.15873015873,0.17037037037,0.194915254237,0.274590163934,0.0265486725664,0.0,0.00826446280992,0.0230769230769,0.0059880239521,0.0333333333333,0.0,0.320796460177,0.0412371134021,0.0661157024793,0.0461538461538,0.179640718563,0.177777777778,0.10843373494
1975-1976,0.0857142857143,0.0,0.0156862745098,0.0709677419355,0.0138888888889,0.049504950495,0.00531914893617,0.409375,0.111111111111,0.154411764706,0.182389937107,0.203007518797,0.275590551181,0.291139240506,0.0276134122288,0.0,0.00735294117647,0.0127388535032,0.0109289617486,0.030612244898,0.00512820512821,0.313609467456,0.0462962962963,0.0661764705882,0.0382165605096,0.153005464481,0.214285714286,0.107692307692
1976-1977,0.114537444934,0.0,0.027027027027,0.0952380952381,0.010101010101,0.0631578947368,0.0168539325843,0.420749279539,0.0866141732283,0.125461254613,0.172185430464,0.18410041841,0.308943089431,0.265765765766,0.0321361058601,0.0,0.0161290322581,0.0204081632653,0.0119047619048,0.0388349514563,0.00568181818182,0.317580340265,0.0326086956522,0.0887096774194,0.0544217687075,0.130952380952,0.223300970874,0.125
1977-1978,0.0769230769231,0.0,0.0240963855422,0.0902255639098,0.00529100529101,0.0659340659341,0.0217391304348,0.451104100946,0.0714285714286,0.173431734317,0.187969924812,0.216666666667,0.330578512397,0.342857142857,0.0149253731343,0.0,0.015503875969,0.0336134453782,0.0059880239521,0.0408163265306,0.00653594771242,0.350746268657,0.0340909090909,0.093023255814,0.0336134453782,0.149700598802,0.234693877551,0.143790849673
1978-1979,0.0900900900901,0.0,0.0187969924812,0.1,0.00925925925926,0.0574712643678,0.0,0.472,0.0645161290323,0.164335664336,0.211920529801,0.189393939394,0.333333333333,0.32380952381,0.0189573459716,0.0,0.008,0.0128205128205,0.00520833333333,0.0340909090909,0.0,0.382306477093,0.0444444444444,0.08,0.0448717948718,0.161458333333,0.261363636364,0.127551020408
1979-1980,0.0858895705521,0.0,0.0124223602484,0.0568181818182,0.0314465408805,0.0454545454545,0.0,0.451492537313,0.0645161290323,0.113095238095,0.150537634409,0.183783783784,0.3,0.194444444444,0.0116472545757,0.0,0.00854700854701,0.00657894736842,0.0106382978723,0.03,0.0,0.38768718802,0.0340909090909,0.0854700854701,0.0526315789474,0.170212765957,0.25,0.137362637363
