no,year,period,day,season,channel,channel_optional,program,begin,end
127,1948-1949,prime time,Monday,Fall Schedule,NBC,,Local,7:00 PM,7:30 PM
128,1948-1949,prime time,Monday,Fall Schedule,NBC,,7:30 America Song / 7:50 Camel Newsreel Theatre,7:30 PM,8:00 PM
129,1948-1949,prime time,Monday,Fall Schedule,NBC,,The Chevrolet Tele-Theatre,8:00 PM,8:30 PM
130,1948-1949,prime time,Monday,Fall Schedule,NBC,,Americana,8:30 PM,9:00 PM
131,1948-1949,prime time,Monday,Fall Schedule,NBC,,9:00 Local / 9:10 Boxing From St. Nicholas Arena,9:00 PM,*10:30 PM
132,1948-1949,prime time,Monday,Fall Schedule,DMN,,Doorway to Fame,7:00 PM,7:30 PM
133,1948-1949,prime time,Monday,Fall Schedule,DMN,,7:30 Camera Headlines / 7:45 Local,7:30 PM,8:00 PM
134,1948-1949,prime time,Monday,Fall Schedule,DMN,,8:00 Champagne and Orchids / 8:15 Local,8:00 PM,8:30 PM
135,1948-1949,prime time,Monday,Fall Schedule,DMN,,Local,8:30 PM,9:30 PM
136,1948-1949,prime time,Monday,Fall Schedule,DMN,,Court of Current Issues,9:30 PM,10:00 PM
137,1948-1949,prime time,Monday,Fall Schedule,DMN,,Local,10:00 PM,*10:30 PM
138,1948-1949,prime time,Tuesday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
139,1948-1949,prime time,Tuesday,Fall Schedule,ABC,,Movieland Quiz (Aug.),7:30 PM,8:00 PM
140,1948-1949,prime time,Tuesday,Fall Schedule,ABC,,Local,8:00 PM,8:30 PM
141,1948-1949,prime time,Tuesday,Fall Schedule,ABC,,America's Town Meeting,8:30 PM,9:30 PM
142,1948-1949,prime time,Tuesday,Fall Schedule,ABC,,Local,9:30 PM,*10:30 PM
143,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,7:00 The Roar of the Rails / 7:15 Local,7:00 PM,7:30 PM
144,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,7:30 CBS Television News / 7:45 Face the Music,7:30 PM,8:00 PM
145,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,Local,8:00 PM,9:00 PM
146,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,"We, the People (June)",9:00 PM,9:30 PM
147,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,People's Platform (Aug.),9:30 PM,10:00 PM
148,1948-1949,prime time,Tuesday,Fall Schedule,CBS,,Local,10:00 PM,*10:30 PM
149,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,Local,7:00 PM,7:30 PM
150,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,7:30 Musical Miniatures / 7:50 Camel Newsreel Theatre,7:30 PM,8:00 PM
151,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,Texaco Star Theater,8:00 PM,9:00 PM
152,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,Mary Margaret McBride,9:00 PM,9:30 PM
153,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,Local,9:30 PM,10:00 PM
154,1948-1949,prime time,Tuesday,Fall Schedule,NBC,,Wrestling From St. Nicholas Arena,10:00 PM,*10:30 PM
155,1948-1949,prime time,Tuesday,Fall Schedule,DMN,,7:00 The Alan Dale Show / 7:15 Local,7:00 PM,7:30 PM
156,1948-1949,prime time,Tuesday,Fall Schedule,DMN,,7:30 Camera Headlines / 7:45 I.N.S. Telenews,7:30 PM,8:00 PM
157,1948-1949,prime time,Tuesday,Fall Schedule,DMN,,Operation Success,8:00 PM,8:30 PM
158,1948-1949,prime time,Tuesday,Fall Schedule,DMN,,Local,8:30 PM,9:00 PM
159,1948-1949,prime time,Tuesday,Fall Schedule,DMN,,Boxing From Jamaica Arena,9:00 PM,*10:30 PM
160,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
161,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,Critic at Large (Aug.),7:30 PM,8:00 PM
162,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,The Gay Nineties Revue (Aug.),8:00 PM,8:30 PM
163,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,8:30 Candid Microphone (Aug.) / 8:45 Three About Town (Aug.),8:30 PM,9:00 PM
164,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,Local,9:00 PM,9:30 PM
165,1948-1949,prime time,Wednesday,Fall Schedule,ABC,,"Wrestling From Washington, D.C. (Aug.)",9:30 PM,*10:30 PM
166,1948-1949,prime time,Wednesday,Fall Schedule,CBS,,7:00 Local / 7:15 Places Please (Aug.),7:00 PM,7:30 PM
167,1948-1949,prime time,Wednesday,Fall Schedule,CBS,,7:30 CBS Television News / 7:45 Face the Music,7:30 PM,8:00 PM
168,1948-1949,prime time,Wednesday,Fall Schedule,CBS,,Kobbs' Korner,8:00 PM,8:30 PM
169,1948-1949,prime time,Wednesday,Fall Schedule,CBS,,Winner Take All,8:30 PM,9:00 PM
170,1948-1949,prime time,Wednesday,Fall Schedule,CBS,,Tournament of Champions,9:00 PM,*10:30 PM
171,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,Local,7:00 PM,7:30 PM
172,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,7:30 You Are an Artist / 7:50 Camel Newsreel Theatre,7:30 PM,8:00 PM
173,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,Girl About Town / Picture This,8:00 PM,8:30 PM
174,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,8:30 The Ted Steele Show / 8:45 Story of the Week,8:30 PM,9:00 PM
175,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,Kraft Television Theatre,9:00 PM,10:00 PM
176,1948-1949,prime time,Wednesday,Fall Schedule,NBC,,10:00 Local / 10:10 Village Barn,10:00 PM,*10:30 PM
177,1948-1949,prime time,Wednesday,Fall Schedule,DMN,,Birthday Party,7:00 PM,7:30 PM
178,1948-1949,prime time,Wednesday,Fall Schedule,DMN,,7:30 Camera Headlines / 7:45 Local,7:30 PM,8:00 PM
179,1948-1949,prime time,Wednesday,Fall Schedule,DMN,,The Laytons,8:00 PM,8:30 PM
180,1948-1949,prime time,Wednesday,Fall Schedule,DMN,,The Growing Paynes,8:30 PM,9:00 PM
181,1948-1949,prime time,Wednesday,Fall Schedule,DMN,,Boxing From Jamaica Arena,9:00 PM,*10:30 PM
182,1948-1949,prime time,Thursday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
183,1948-1949,prime time,Thursday,Fall Schedule,ABC,,Local,7:30 PM,8:30 PM
184,1948-1949,prime time,Thursday,Fall Schedule,ABC,,Club Seven (Aug.),8:30 PM,9:00 PM
185,1948-1949,prime time,Thursday,Fall Schedule,ABC,,ABC Feature Film,9:00 PM,10:00 PM
186,1948-1949,prime time,Thursday,Fall Schedule,ABC,,Local,10:00 PM,*10:30 PM
187,1948-1949,prime time,Thursday,Fall Schedule,CBS,,Local,7:00 PM,7:30 PM
188,1948-1949,prime time,Thursday,Fall Schedule,CBS,,7:30 CBS Television News / 7:45 Face the Music,7:30 PM,8:00 PM
189,1948-1949,prime time,Thursday,Fall Schedule,CBS,,To the Queen's Taste,8:00 PM,8:30 PM
190,1948-1949,prime time,Thursday,Fall Schedule,CBS,,Local,8:30 PM,*10:30 PM
191,1948-1949,prime time,Thursday,Fall Schedule,NBC,,Local,7:00 PM,7:30 PM
192,1948-1949,prime time,Thursday,Fall Schedule,NBC,,7:30 NBC Presents / 7:45 Girl of the Week / 7:50 Camel Newsreel Theatre,7:30 PM,8:00 PM
193,1948-1949,prime time,Thursday,Fall Schedule,NBC,,8:00 Princess Sagaphi / 8:15 The Nature of Things,8:00 PM,8:30 PM
194,1948-1949,prime time,Thursday,Fall Schedule,NBC,,The Swift Show,8:30 PM,9:00 PM
195,1948-1949,prime time,Thursday,Fall Schedule,NBC,,The Gulf Road Show Starring Bob Smith,9:00 PM,9:30 PM
196,1948-1949,prime time,Thursday,Fall Schedule,NBC,,The Bigelow Show,9:30 PM,10:00 PM
197,1948-1949,prime time,Thursday,Fall Schedule,NBC,,Local,10:00 PM,*10:30 PM
198,1948-1949,prime time,Thursday,Fall Schedule,DMN,,The Adventures of Oky Doky,7:00 PM,7:30 PM
199,1948-1949,prime time,Thursday,Fall Schedule,DMN,,7:30 Camera Headlines / 7:45 The Jack Eigen Show,7:30 PM,8:00 PM
200,1948-1949,prime time,Thursday,Fall Schedule,DMN,,Local,8:00 PM,8:30 PM
201,1948-1949,prime time,Thursday,Fall Schedule,DMN,,Charade Quiz,8:30 PM,9:00 PM
202,1948-1949,prime time,Thursday,Fall Schedule,DMN,,Wrestling From Columbia Park Arena,9:00 PM,*10:30 PM
203,1948-1949,prime time,Friday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
204,1948-1949,prime time,Friday,Fall Schedule,ABC,,7:30 Tales of the Red Caboose / 7:45 Local,7:30 PM,8:00 PM
205,1948-1949,prime time,Friday,Fall Schedule,ABC,,Teenage Book Club (Aug.),8:00 PM,8:30 PM
206,1948-1949,prime time,Friday,Fall Schedule,ABC,,That Reminds Me (Aug.),8:30 PM,9:00 PM
207,1948-1949,prime time,Friday,Fall Schedule,ABC,,Break the Bank,9:00 PM,9:30 PM
208,1948-1949,prime time,Friday,Fall Schedule,ABC,,Local,9:30 PM,*10:30 PM
209,1948-1949,prime time,Friday,Fall Schedule,CBS,,7:00 Local / 7:15 Places Please (Aug.),7:00 PM,7:30 PM
210,1948-1949,prime time,Friday,Fall Schedule,CBS,,7:30 CBS Television News / 7:45 Face the Music,7:30 PM,8:00 PM
211,1948-1949,prime time,Friday,Fall Schedule,CBS,,8:00 Sportsman's Quiz / 8:05 What's It Worth,8:00 PM,8:30 PM
212,1948-1949,prime time,Friday,Fall Schedule,CBS,,Captain Billy's Mississippi Music Hall,8:30 PM,9:00 PM
213,1948-1949,prime time,Friday,Fall Schedule,CBS,,Local,9:00 PM,*10:30 PM
214,1948-1949,prime time,Friday,Fall Schedule,NBC,,Local,7:00 PM,7:30 PM
215,1948-1949,prime time,Friday,Fall Schedule,NBC,,7:30 Musical Merry-Go-Round / 7:50 Camel Newsreel Theatre,7:30 PM,8:00 PM
216,1948-1949,prime time,Friday,Fall Schedule,NBC,,Musical Miniatures*,8:00 PM,8:30 PM
217,1948-1949,prime time,Friday,Fall Schedule,NBC,,Stop Me If You've Heard This One,8:30 PM,9:00 PM
218,1948-1949,prime time,Friday,Fall Schedule,NBC,,9:00 The Ted Steele Show / 9:15 Local,9:00 PM,9:30 PM
219,1948-1949,prime time,Friday,Fall Schedule,NBC,,9:30 Gillette Cavalcade of Sports / 10:45 Greatest Fights of the Century,9:30 PM,*10:30 PM
220,1948-1949,prime time,Friday,Fall Schedule,DMN,,Key to the Missing,7:00 PM,7:30 PM
221,1948-1949,prime time,Friday,Fall Schedule,DMN,,7:30 Camera Headlines / 7:45 Local,7:30 PM,8:00 PM
222,1948-1949,prime time,Friday,Fall Schedule,DMN,,Fashions on Parade (Aug.),8:00 PM,8:30 PM
223,1948-1949,prime time,Friday,Fall Schedule,DMN,,Local,8:30 PM,9:00 PM
224,1948-1949,prime time,Friday,Fall Schedule,DMN,,Wrestling From Jamaica Arena,9:00 PM,*10:30 PM
225,1948-1949,prime time,Saturday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
226,1948-1949,prime time,Saturday,Fall Schedule,ABC,,7:30 Sports with Joe Hasel (Aug.) / 7:45 Local,7:30 PM,8:00 PM
227,1948-1949,prime time,Saturday,Fall Schedule,ABC,,Local,8:00 PM,*10:30 PM
228,1948-1949,prime time,Saturday,Fall Schedule,CBS,,Local,7:00 PM,*10:30 PM
229,1948-1949,prime time,Saturday,Fall Schedule,NBC,,Local,7:00 PM,8:30 PM
230,1948-1949,prime time,Saturday,Fall Schedule,NBC,,Television Screen Magazine,8:30 PM,9:00 PM
231,1948-1949,prime time,Saturday,Fall Schedule,NBC,,Local,9:00 PM,*10:30 PM
232,1948-1949,prime time,Saturday,Fall Schedule,DMN,,Local,7:00 PM,*10:30 PM
233,1948-1949,daytime,,Fall 1948,ABC,,local programming,10:30 am,5:30 pm
234,1948-1949,daytime,,Fall 1948,ABC,,Cartoon Teletales (M W) / The Singing Lady (Tu Th),5:30 pm,6:00 pm
235,1948-1949,daytime,,Fall 1948,ABC,,local programming,6:00 pm,*6:30 pm
236,1948-1949,daytime,,Fall 1948,CBS,,local programming,10:30 am,1:00 pm
237,1948-1949,daytime,,Fall 1948,CBS,,Vanity Fair (Tu Th) / This Is the Missus,1:00 pm,1:30 pm
238,1948-1949,daytime,,Fall 1948,CBS,,The Missus Goes a-Shopping / Ladies Day,1:30 pm,2:00 pm
239,1948-1949,daytime,,Fall 1948,CBS,,local programming,2:00 pm,6:30 pm
240,1948-1949,daytime,,Fall 1948,CBS,,"6:30 PM: The Adventures of Lucky Pup (since 8/23)
6:45 PM: local programming
",6:30 pm,*6:30 pm
241,1948-1949,daytime,,Fall 1948,NBC,,local programming,10:30 am,5:30 pm
242,1948-1949,daytime,,Fall 1948,NBC,,Howdy Doody,5:30 pm,6:00 pm
243,1948-1949,daytime,,Fall 1948,NBC,,local programming,6:00 pm,*6:30 pm
244,1948-1949,daytime,,Fall 1948,DMN,,TV Shopper (since November 1)[1],10:30 am,11:00 am
245,1948-1949,daytime,,Fall 1948,DMN,,?,11:00 am,6:30 pm
246,1948-1949,daytime,,Fall 1948,DMN,,"6:30 PM: Russ Hodges' Scoreboard (F, to 6:45)",6:30 pm,*6:30 pm
247,1948-1949,daytime,,Winter 1948/1949,ABC,,local programming,10:30 am,*6:30 pm
248,1948-1949,daytime,,Winter 1948/1949,CBS,,local programming,10:30 am,1:00 pm
249,1948-1949,daytime,,Winter 1948/1949,CBS,,Ladies Day (MWF),1:00 pm,1:30 pm
250,1948-1949,daytime,,Winter 1948/1949,CBS,,Ladies Days (until 2/1) / Vanity Fair (M Tu Th F),1:30 pm,2:00 pm
251,1948-1949,daytime,,Winter 1948/1949,CBS,,local programming,2:00 pm,5:30 pm
252,1948-1949,daytime,,Winter 1948/1949,CBS,,The Chuck Wagon,5:30 pm,6:30 pm
